example_id,query,query_id,product_id,product_locale,esci_label,small_version,large_version,split,product_title,product_description,product_bullet_point,product_brand,product_color
42,!qscreen fence without holes,2,B07R6P8TK8,us,E,1,1,test,"Amgo 4' x 50' Black Fence Privacy Screen Windscreen,with Bindings & Grommets, Heavy Duty for Commercial and Residential, 90% Blockage, Cable Zip Ties Included, (Available for Custom Sizes)","<p><strong>Package Included:</strong></p> <p>1 - 4' x 50' fence privacy screen.</p> <p>1 - 80 pcs cable zip ties.</p> <p> </p> <p><strong>Specifications</strong></p> <p>★ Size: 4' x 50'</p> <p>★ Color: Black</p> <p>★ Fabric Material: High-density polyethylene, 0% recycled material, water & air permeable</p> <p>★ Blockage: 90%</p> <p>★ Finish: Black bindings & grommets all around, 1ft apart vertically, 2ft apart horizontally.</p> <p>★ Warranty: 3 years full warranty.</p> <p> </p> <p><strong>Why Choose Our Product?</strong></p> <p>✔ Quality</p> <p>✔ Price</p> <p>✔ Warranty</p> <p>✔ Hassle-free customer service and return</p>","Fence privacy screen fits perfectly on 4 ft fence, actual height is 3' 9"", cable zip ties are included for installation.
Edges are finished with heavy duty black bindings and stainless copper grommets, all stitching are reinforced, grommets are placed every 1 ft vertically, 2 ft horizontally, each corner has 4 grommets, easy to install with included cable zip ties.
Edges are finished with heavy duty black bindings and stainless copper grommets, all stitching are reinforced, grommets are placed every 1 ft vertically, 2 ft horizontally, each corner has 4 grommets, easy to install with included cable zip ties.
Custom sizes are available, select size from drop-down or contact us for other colors & sizes, we are the manufacturer who is focusing on making quality and durable fence screen at low price.
3 years limited warranty under normal usage and weather.",Amgo,Black
45,!qscreen fence without holes,2,B08NG85RHL,us,E,1,1,test,Orgrimmar Green 6’x50’ Fence Privacy Screen Heavy Duty Garden Fence Mesh Shade Net Cover for Outdoor Wall Porch Patio Backyard Balcony,"<br>Privacy fence screen measures 5.9‘ tall x 50' long, perfect fit for a fence that’s 6ft tall. Breathable fabric allows breeze to go through, made of UV & water resistant heavy duty HDPE (High-density polyethylene), made to last under sun exposure and all weather condition. 90% blockage gives you the privacy you deserve, not completely block out but the right amount of privacy and blockage, keep the dogs from barking. Ideal for condo apartment balconies, backyards patio, gathering areas, swimming pool, or anywhere you need a bit of privacy. <br><br><b>Specification:</b> <br>Material: HDPE+Brass <br>Color: Green <br>Size(L x W): About 6’x50” <br><b>Package included:</b> <br>Garden fence privacy screen*1 <br>Straps*80 <br><b>Note:</b> <br>1.Due to the light and screen difference, the item's color may be slightly different from the pictures. <br>2.Please allow 0.5-2cm differences due to manual measurement.","PREMIUM QUALITY: This heavy duty privacy screen is constructed of HDPE fabric and brass grommets finished with reinforced black bindings. Product measures 6 x 50 ft(HxL) , perfect fits for 6 ft tall fence. The zip ties are included.
BRASS GROMMETS: Each hole of our fence covering is reinforced with brass grommets. The grommets run along the entire perimeter of the screen and are evenly spaced to ensure strength. The holes are spaced 11.8 inches apart vertically, 18.9 inches horizontally.
PRIVACY SOLUTION: Garden fence mesh allows water and airflow to pass through but not opaque. If you wanted these to be thick enough to block the view almost completely you could buy a 2nd one and stack them for use.
EASY TO INSTALL: Grommets are generously distributed so the screen can fasten securely to established fencing. Best to extend the screen as much as possible when adding the zip ties to get it to fit perfectly to the fence.
MULTI-FUNCTION: The fence privacy screen can be applied in backyard, patio, greenhouse, swimming pool, tennis court, pet kennel, chicken run, construction site etc. Block surrounding nosy neighbor and street view, stops dogs from barking at passersby.",Orgrimmar,Green
51,!qscreen fence without holes,2,B01EYHHO2G,us,E,1,1,test,"Zippity Outdoor Products ZP19014 Premium Vinyl Privacy Screen, 48""W x 48""H (Unassembled), White",,"Privacy screen is completely solid for maximum privacy
Not only will this screen hide your unmentionables, but it will also add curb appeal to your home
Crafted with premium PVC vinyl, this privacy screen looks the same from both sides
To install, simply drive the included stakes into the ground using a sledge hammer
Set includes 2 sections to make a right angle. Not recommended for side by side installation unless you use concrete to cement into the ground",Enclo Privacy Screens,White
53,!qscreen fence without holes,2,B077Z8Z8D8,us,E,1,1,test,"DAP INC 18741 Platinum 16OZ Patch Filler, 16.0 Fl Oz, White",,"16-ounce Package
Use on metal, composite, PVC, fiber cement, wood, and more
Easy to apply, sandable, and paintable
Exceptional weatherproofing and UV protection",DAP,White
55,!qscreen fence without holes,2,B0019Y6TTC,us,E,1,1,test,Garden Creations JB4710 Extendable Instant Fence,,"EXPANDABLE FLEXI-SCREEN stretch your fence to the width compatable with your home
ESTHETIC DESIGN easily place your fence inside or outdoors, wood finish is a perfect match for interior home designs as well as porch finishes
PLANT DIVIDER perfect for flowerbeds, easily separate your plants while maintaining visual garden appeal
PORTABLE light weight design, easy to move from room to room
DURABLE fence stands on two wooden platforms, no digging or support needed","Creation's Garden Natural Products, Inc",Brown
56,!qscreen fence without holes,2,B001OJXVKW,us,E,1,1,test,Windscreen4less Heavy Duty Privacy Screen Fence in Color Solid Black 6' x 50' Brass Grommets 150 GSM - Customized,,"Product measures exactly 50' long x 5'8"" tall, perfect fit for a fence that’s 6 ft tall.
Constructed of new high density material- polyethylene, allows maximum air to go through.
Prevents harmful UV sun lights from damaging for up to 90%, and fabric has a 2.5” enforced binding, so it’s able to hold up even in extreme weather condition.
2 grommets on each side of fabric to ensure strength, and it’s easy to install.
Has a 3 Year Limited Warranty under normal usage and weather.",Windscreen4less,Black
62,!qscreen fence without holes,2,B018JYCD80,us,E,1,1,test,"Zippity Outdoor Products ZP19001 No Dig Madison Vinyl Picket Fence, White, 30"" x 56"" (1 Box, 2 Panels), 1 x Pack of 2",,"This fence is designed for semi-permanent residential applications that are not subject to intense wear and tear. Package comes with 2 units for a total of 113in of fence
Assembles and installs with relative ease- no digging required! Simply insert pointed stakes into the ground
Perfect to contain small pets or small children; Not recommended for large dogs
Made with weather resistant vinyl with a 10 year warranty. Won't crack, warp, yellow, splinter, or rot. No painting, staining or maintaining required!
Search ""ZP19028"" for compatible gate option to pair with this fence",Zippity Outdoor Products,White
149,# 10 self-seal envelopes without window,5,B07RP3F2LW,us,E,1,1,train,"BAZIC Security Self Seal Envelope 4 1/8"" x 9 1/2"" #10, No Window Tint Pattern Mailing Envelopes, Peel & Seal, Office Checks Invoices (30/Pack), 1-Pack","<p><strong>BACK TO BAZIC</strong></p> <p>Our goal is to provide each customer with long-lasting supplies at an affordable cost. Since 1998, we’ve delivered on this promise and will only continue to improve every year. We’ve built our brand on integrity and quality, so customers know exactly what to expect.</p> <p><strong>COMMITTED TO VALUES</strong></p> <p>We are a value-driven company, guided by the principles of excellence through strong product design at low cost. Our commitment to these values is reflected in our dedication to improving current products and developing new exciting products for our consumers. We thrive on imagination, passion and leadership. We have great products and will to continue to rise with our customer expectations.</p> <p><strong>SUCCESS BASED ON SATISFACTION</strong></p> <p>Headquarters in Los Angeles, California, United States. Each and every product we send out, we expect our 100% customer satisfaction. Our success stems from individual consumer fulfillment. We create products that people want to recommend to others.</p>","&#11088; #10 SECURITY ENVELOPES. These 4 1/8"" x 9 1/2"" inch envelopes are designed with security print to protect contents and sensitive information, perfect for protecting sensitive information from others.
&#11088; SECURE. Just peel and seal to create a strong lasting seal without licking or moistening. Our self seal design is quick and easy and is guaranteed to stay sealed with no need for tape or glue sticks.
&#11088; WINDOWLESS DESIGN. Envelopes manufactured with a windowless front panel for easy printing, labeling or hand-addressing, perfect for quick, mass business mailings.
&#11088; WHITE 20LB STOCK. Perfect for everyday business use, these standard white envelopes are crafted of heavy, durable 20lb paper and securely holds hefty files during transit.
&#11088; MULTI-PURPOSE. These envelopes can easily fit invoices, letters, checks, gift cards, etc. These envelopes can be used for virtually anything you need them for!",BAZIC Products,#10 (30-count)
150,# 10 self-seal envelopes without window,5,B07FK9PCZB,us,E,1,1,train,"Quality Park #10 Self-Seal Security Envelopes, Security Tint and Pattern, Redi-Strip Closure, 24-lb White Wove, 4-1/8"" x 9-1/2"", 100/Box (QUA69117)",,"SAVE TIME WITH SELF-STICK: Quality Park #10 Security Envelopes have a strong peel & stick closure that helps you fly through mailings in record time
ENHANCED SECURITY: Offer the protection clients deserve; a security tint makes envelopes hard to see through; a security pattern scrambles the appearance of text
LESS YUCK: We promise you won't miss licking envelopes or crumbly, drippy sponges; complete your mailings, no accessories required
STORE MORE, LONGER: Reid-Strip envelopes have a longer shelf-life thanks to the peel able strip that protects your adhesive from dust
AN EXCELLENT VALUE: Bright White 24-lb paper makes an impression for business mailings and personal correspondence; get 100 4-1/8 x 9-1/2 inch envelopes",Quality Park,White
152,# 10 self-seal envelopes without window,5,B07GJCSF8Z,us,E,1,1,train,"ValBox 500 Count #10 Security Self-Seal Envelopes Windowless Design Security Tint Pattern for Secure Mailing 4-1/8x9-1/2"" ,White Business Envelopes","""About ValBox. </br> </br> Engaged in envelopes, paper boxes and other home and office paper products supplies, Valbox is a direct-sale store of a paper products manufacture. We advocate the love and natural concept, insisting on using recycled material in the process of production. Hope Valbox can provide you, our valued customers, the high quality products and intimate service. </br> </br> ValBox #10, 4-1/8x9-1/2"""" Quick-Seal Closure Security Envelopes 500pcs</br> </br> Premium quality. Protect to fit QuickBooks and computer checks perfectly!</br> </br> Our #10 Security Tinted Self Seal Envelopes are a premium choice with a number of key benefits:</br> </br> 1) Large, windowless design, perfect for hand addressing. </br> </br> 2) Security tinted pattern, perfect for protecting sensitive information. </br> </br> 3) Perfect for thicker and larger documents.</br> </br> 4) Ultra secure self seal strip for quick, strong mailing. </br> </br> 5) Long lasting 500 envelope supply in every box, perfect for everyday use.</br> </br> Protect your check security.</br> </br> 24 LB White wove paper, security tint design and stronger glue. Your checks will be secure with an easy to use and being a professional look from the box all the way to your destination.""","#10 Security Tinted Self Seal Envelopes 500 Count: Forget the envelopes that easily split and aren't suitable for secure mailing, our #10 envelopes are designed with a premium security tint to protect sensitive information and a super strong SELF-SEAL strip, perfect for larger documents.
Premium Security Tinted Pattern: These mailing envelopes feature high quality security patterns with heavy paper stock to protect confidential information, for absolute peace of mind when mailing sensitive information.
Windowless Design: envelopes ideal for standard business & legal documents and sensitive correspondence, manufactured with a windowless front panel for easy printing, labeling or hand-addressing, perfect for quick, mass business mailings.
Quick-Seal Closure: No glue sticks required. With a easy peel-off strip that reveals a strong, permanent adhesive that won’t rip or tear even through long haul journeys.
Strong Adhesive: With the strong adhesive flap, ValBox #10 security envelopes will be more evident if tampered. No need to worry about opening them easily by others. If there's anything make you unhappy or unsatisfied about the products, please do contact us without any hesitation.",ValBox,White-500 Count
153,# 10 self-seal envelopes without window,5,B07GJKFC5X,us,E,1,1,train,"ValBox #10 Security Envelopes Self Seal, No. 10 Windowless Security Tint Pattern, Secure Mailing Envelopes, 4-1/8x9-1/2 Inches, 24 LB White Business Envelopes, 200 Count","""About ValBox. </br> </br> Engaged in envelopes, paper boxes and other home and office paper products supplies, ValBox is a direct-sale store of a paper products manufacture. We advocate the love and natural concept, insisting on using recycled material in the process of production. Hope Valbox can provide you, our valued customers, the high quality products and intimate service. </br> </br> ValBox #10, 4-1/8x9-1/2"""" Quick-Seal Closure Security Envelopes 200pcs</br> </br> Premium quality. Protect to fit QuickBooks and computer checks perfectly!</br> </br> Our #10 Security Tinted Self Seal Envelopes are a premium choice with a number of key benefits:</br> </br> Large, windowless design, perfect for hand addressing. </br> </br> Security tinted pattern, perfect for protecting sensitive information. </br> </br> Perfect for thicker and larger documents.</br> </br> Ultra secure self seal strip for quick, strong mailing. </br> </br> Long lasting 200 envelope supply in every box, perfect for everyday use.</br> </br> Protect your check security.</br> </br> 24 LB White wove paper, security tint design and stronger glue. Your checks will be secure with an easy to use and being a professional look from the box all the way to your destination.""","#10 Security Tinted Self Seal Envelopes 200 Count: Forget poor quailty envelopes that easily split and aren't suitable for secure mailing, our #10 envelopes are designed with a premium security tint to protect sensitive information and a super strong SELF-SEAL strip, perfect for larger documents.
Premium Security Tinted Pattern: These mailing envelopes feature high quality security patterns with heavy paper stock to protect confidential information, for absolute peace of mind when mailing sensitive information.
Windowless Design: envelopes ideal for standard business & legal documents and sensitive correspondence, manufactured with a windowless front panel for easy printing, labeling or hand-addressing, perfect for quick, mass business mailings.
Quick-Seal Closure: No glue sticks required. With a easy peel-off strip that reveals a strong, permanent adhesive that won’t rip or tear even through long haul journeys.
Strong Adhesive: With the strong adhesive flap, ValBox #10 security envelopes will be more evident if tampered. No need to worry about opening them easily by others. If there's anything make you unhappy or unsatisfied about the products, please do contact us without any hesitation.",ValBox,White-200 Count
156,# 10 self-seal envelopes without window,5,B07RP467JB,us,E,1,1,train,"BAZIC Self Seal White Envelope 3 5/8"" x 6 1/2"" #6, No Window Mailing Envelopes, Peel & Seal Mailer for Business Invoice Check (100/Pack), 1-Pack","<p><strong>BACK TO BAZIC</strong></p> <p>Our goal is to provide each customer with long-lasting supplies at an affordable cost. Since 1998, we’ve delivered on this promise and will only continue to improve every year. We’ve built our brand on integrity and quality, so customers know exactly what to expect.</p> <p><strong>COMMITTED TO VALUES</strong></p> <p>We are a value-driven company, guided by the principles of excellence through strong product design at low cost. Our commitment to these values is reflected in our dedication to improving current products and developing new exciting products for our consumers. We thrive on imagination, passion and leadership. We have great products and will to continue to rise with our customer expectations.</p> <p><strong>SUCCESS BASED ON SATISFACTION</strong></p> <p>Headquarters in Los Angeles, California, United States. Each and every product we send out, we expect our 100% customer satisfaction. Our success stems from individual consumer fulfillment. We create products that people want to recommend to others.</p>","&#11088; #6-3/4 SELF-SEAL WHITE ENVELOPES. These 3 5/8"" x 6 1/2"" inch self-sealing envelopes are designed to save your time and money. Helps you fly through mailings in record time.
&#11088; SECURE. Just peel and seal to create a strong lasting seal without licking or moistening. Our self seal design is quick and easy and is guaranteed to stay sealed with no need for tape or glue sticks.
&#11088; WINDOWLESS DESIGN. Envelopes manufactured with a windowless front panel for easy printing, labeling or hand-addressing, perfect for quick, mass business mailings.
&#11088; WHITE 20LB STOCK. Perfect for everyday business use, these standard white envelopes are crafted of heavy, durable 20lb paper and securely holds hefty files during transit.
&#11088; MULTI-PURPOSE. These envelopes can easily fit invoices, letters, checks, gift cards, etc. These envelopes can be used for virtually anything you need them for!",BAZIC Products,#6 3/4 (100-count)
157,# 10 self-seal envelopes without window,5,B078S5ZL5D,us,E,1,1,train,500 Self Seal Security Mailing Envelopes - #10 White Letter Businesses Envelopes -500 Peel and Seal Tinted Windowless # 10 Envelope - Printer Friendly - Self Stick Bulk Envelops,500 units of number 10 SECURITY TINTED SELF SEAL ENVELOPES - Standard #10 envelope ( 4 1/8 x 9 1/2). HIGH-QUALITY 24lb. Perfect for printer and stamps postage forever,"HIGH QUALITY & BULK PRICING - 24lbs high quality envelopes at a fraction of the price
NO NEED TO LICK THE FLAP ANYMORE - Very convenient
SELF SEAL ENVELOPE- Just peel and stick 4 1/8 in. x 9 1/2 in size envelop
CAN'T SEE THROUGH ENVELOPES - Security printing pattern on the inside prevents from seeing what inside. Windowless envelope
LONG LASTING SUPPLY - 500 count per box",Splendoress,white
159,# 10 self-seal envelopes without window,5,B085WJMWC9,us,E,1,1,train,"#10 Security Self-Seal Envelopes, No.10 Windowless Bussiness Envelopes, Security Tinted with Printer Friendly Design - Size 4-1/8 x 9-1/2 Inch - White - 24 LB - 500 Count",500 No. 10 Self Seal Security Envelopes - 10 Envelopes Self Seal Designed for Secure Mailing - Security Tinted with Printer Friendly Design - Number 10 Size 4 1/8 x 9 ½ Inch - Pack of 500,"500 PACK SELF SEAL BUSSINESS ENVELOPES：HERKKA #10 Security envelopes are designed with Peel & Seal closure—no moisture needed and a premium security tint to protect sensitive information and a super strong SELF-SEAL strip.perfect for home or office; securely send checks, invoices, or other confidential documents.
PREMIUM SECURITY TINT PATTERN: The interior of our #10 Security envelopes use a dark navy, heavy coverage security tint to provide guaranteed privacy for your legal or business mail, offer the protection contents and sensitive information, a security tint makes envelopes hard to see through that ensures upmost privacy.
PERFECT FOR CHECK PRINTING DESIGN: HERKKA envelopes ideal for standard business & legal documents and sensitive correspondence, manufactured with a windowless blank design allows for easy address printing or labels for mass mailing or to simply keep a bulk supply on hand for your home office. Perfect for quick, mass business mailings.
EASY SEAL CLOSURE: Our #10 envelopes are designed with an ultra strong SELF-SEAL adhesive strip to create a full, super secure seal across each envelope's width that won't easily open or tear, ideal for mailing for any letter sized and larger documents without splitting.
LONG LASTING SUPPLY: Large sized envelopes and 500 envelopes in every pack for a long lasting supply, perfect for everyday business correspondence and large mailing tasks! Fully compatible with most inkjet and laser printers for quick and easy addressing. Click the Orange Button to order now.",HERKKA,
160,# 10 self-seal envelopes without window,5,B08G14MTVW,us,E,1,1,train,"Xxcxpark 120 PCS #10 Self Seal Kraft 4-1/8 x 9-1/2 inches Security Envelopes, Windowless Invisible Envelopes Super Strong Quick Seal Envelopes Security Tint Pattern Secure Mailing","Value Security Envelopes Package includes 120 PCS #10 self seal security envelopes to make it a great choice for quick and safe mailing.<br/> <br/> Tired of the security envelopes in cheap quality that always reveal your privacy or cause damage to the inside documents? No it’s time to say goodbye to the poor quality envelopes!<br/> <br/> Excellent performance in invisibility, durability and self-sealing. Xxcxpark 120 PCS #10 security envelopes are made of high quality material to stay flat and straight and keep the inside documents safe all the time, no damage, size 4-1/8 x 9-1/2 inches, great for mailing pictures, photos, documents, papers, files, invitation cards or any other items.<br/> <br/> More features to make a perfect gift for you.<br/> ●Strong self seal closure to offer a strong sealing and keep the inside documents safe.<br/> ●The windowless design for easy printing, labeling or hand-addressing, great for quick, mass business mailings.<br/> ●The #10 envelopes are designed with a premium security printed design to protect contents and sensitive information.<br/> <br/> <b>Specification:</b><br/> Material: Kraft paper<br/> Color: Brown<br/> Closure: Self seal<br/> Size: 4-1/8 x 9-1/2 inches<br/> <br/> <b>Package Content:</b><br/> 120 PCS #10 Self Seal Security Envelopes<br/>","VALUE SECURITY ENVELOPES PACKAGE - Package includes 120 PCS self seal #10 security envelopes with larger size of 4-1/8 x 9-1/2 inches which can easily get your large documents, pictures, photos, files, papers or other items organized and shipped safely.
HIGH QUALITY & FINE WORKMANSHIP - Say goodbye to the security envelopes in cheap quality. Here our #10 self seal security envelopes are made of high quality material with fine workmanship to keep the envelopes stay flat during the mailing time, safe mailing without causing any damage.
ULTRA STRONG SELF SEAL CLOSURE - The #10 security envelopes are with strong self seal tape closure to offer a ultra strong sealing performance and keep the inside documents safe, not easy to open or tear even shipped in the most Violent Express, providing the max safety.
WIDE USED IN ANY OCCASIONS - All the security envelopes are with windowless design which allows an easy printing, labeling or hand-addressing, great for quick, mass business mailings, great choice for standard business, legal documents and sensitive correspondence.
WE OFFER THE BEST SERVICE - Xxcxpark is professional manufacture of paper supplies who is devoted to provide perfect solutions for home and office documents organizing. Order now to get 30 days money back and free replacement, feel free to contact us if there is any issue with our security envelopes.",Xxcxpark,
